Maker,Genmodel,item_id
Kia,Sportage,kia_sportage
Kia,Stinger,kia_stinger
Kia,Stonic,kia_stonic
Kia,Venga,kia_venga
Kia,Sephia,kia_sephia
Kia,Soul EV,kia_soulev
Lamborghini,Aventador,lamborghini_aventador
Lamborghini,Gallardo,lamborghini_gallardo
Lamborghini,Huracan,lamborghini_huracan
Lamborghini,Murcielago,lamborghini_murcielago
Land Rover,Discovery,landrover_discovery
Land Rover,Discovery sport,landrover_discoverysport
Land Rover,Freelander,landrover_freelander
Land Rover,Range rover,landrover_rangerover
Land Rover,Range rover evoque,landrover_rangeroverevoque
Land Rover,Range rover sport,landrover_rangeroversport
Land Rover,Range rover velar,landrover_rangerovervelar
Lexus,Ct,lexus_ct
Lexus,Gs,lexus_gs
Lexus,Is,lexus_is
Lexus,Lc,lexus_lc
Lexus,Ls,lexus_ls
Lexus,Nx,lexus_nx
Lexus,Rc,lexus_rc
Lexus,Rx,lexus_rx
Lexus,Sc,lexus_sc
Lotus,Elise,lotus_elise
Lotus,Evora,lotus_evora
Lotus,Exige,lotus_exige
Mg,Gs,mg_gs
Mg,Mg3,mg_mg3
Mg,Mg6,mg_mg6
Mg,Tf,mg_tf
Mg,Zr,mg_zr
Mg,Zs,mg_zs
Mg,Zt,mg_zt
Mini,Clubman,mini_clubman
Mini,Convertible,mini_convertible
Mini,Countryman,mini_countryman
Mini,Coupe,mini_coupe
Mini,Hatch,mini_hatch
Mini,Paceman,mini_paceman
Mini,Roadster,mini_roadster
Mini,John cooper works,mini_johncooperworks
Mini,Cooper s,mini_coopers
Maserati,Coupe,maserati_coupe
Maserati,Ghibli,maserati_ghibli
Maserati,Grancabrio,maserati_grancabrio
Maserati,Gransport,maserati_gransport
Maserati,Granturismo,maserati_granturismo
Maserati,Levante,maserati_levante
Maserati,Quattroporte,maserati_quattroporte
Maserati,Spyder,maserati_spyder
Maybach,57,maybach_57
Maybach,62,maybach_62
Mazda,323,mazda_323
Mazda,626,mazda_626
Mazda,Cx-3,mazda_cx-3
Mazda,Cx-5,mazda_cx-5
Mazda,Cx-7,mazda_cx-7
Mazda,Demio,mazda_demio
Mazda,Mazda2,mazda_mazda2
Mazda,Mazda3,mazda_mazda3
Mazda,Mazda5,mazda_mazda5
Mazda,Mazda6,mazda_mazda6
Mazda,Mpv,mazda_mpv
Mazda,Mx-5,mazda_mx-5
Mazda,Premacy,mazda_premacy
Mazda,Rx-8,mazda_rx-8
Mazda,Tribute,mazda_tribute
Mclaren,540C,mclaren_540c
Mclaren,570GT,mclaren_570gt
Mercedes-Benz,A class,mercedes-benz_aclass
Mercedes-Benz,Amg gt,mercedes-benz_amggt
Mercedes-Benz,B class,mercedes-benz_bclass
Mercedes-Benz,C class,mercedes-benz_cclass
Mercedes-Benz,Cl,mercedes-benz_cl
Mercedes-Benz,Cla class,mercedes-benz_claclass
Mercedes-Benz,Clc class,mercedes-benz_clcclass
Mercedes-Benz,Clk,mercedes-benz_clk
Mercedes-Benz,Cls,mercedes-benz_cls
Mercedes-Benz,E class,mercedes-benz_eclass
Mercedes-Benz,G class,mercedes-benz_gclass
Mercedes-Benz,Gl class,mercedes-benz_glclass
Mercedes-Benz,Gla class,mercedes-benz_glaclass
Mercedes-Benz,Glc class,mercedes-benz_glcclass
Mercedes-Benz,Gle class,mercedes-benz_gleclass
Mercedes-Benz,Gls class,mercedes-benz_glsclass
Mercedes-Benz,M class,mercedes-benz_mclass
Mercedes-Benz,R class,mercedes-benz_rclass
Mercedes-Benz,S class,mercedes-benz_sclass
Mercedes-Benz,Sl class,mercedes-benz_slclass
Mercedes-Benz,Slc,mercedes-benz_slc
Mercedes-Benz,Slk,mercedes-benz_slk
Mercedes-Benz,V class,mercedes-benz_vclass
Mercedes-Benz,Vaneo,mercedes-benz_vaneo
Mercedes-Benz,Viano,mercedes-benz_viano
Mitsubishi,Asx,mitsubishi_asx
Mitsubishi,Carisma,mitsubishi_carisma
Mitsubishi,Colt,mitsubishi_colt
Mitsubishi,Eclipse cross,mitsubishi_eclipsecross
Mitsubishi,Fto,mitsubishi_fto
Mitsubishi,Galant,mitsubishi_galant
Mitsubishi,Grandis,mitsubishi_grandis
Mitsubishi,I,mitsubishi_i
Mitsubishi,Lancer,mitsubishi_lancer
Mitsubishi,Mirage,mitsubishi_mirage
Mitsubishi,Outlander,mitsubishi_outlander
Mitsubishi,Shogun,mitsubishi_shogun
Mitsubishi,Shogun pinin,mitsubishi_shogunpinin
Mitsubishi,Shogun sport,mitsubishi_shogunsport
Mitsubishi,Space star,mitsubishi_spacestar
Mitsubishi,Space wagon,mitsubishi_spacewagon
Nissan,350 z,nissan_350z
Nissan,370 z,nissan_370z
Nissan,Almera,nissan_almera
Nissan,Almera tino,nissan_almeratino
Nissan,Cube,nissan_cube
Nissan,Gt-r,nissan_gt-r
Nissan,Juke,nissan_juke
Nissan,Leaf,nissan_leaf
Nissan,Micra,nissan_micra
Nissan,Murano,nissan_murano
Nissan,Note,nissan_note
Nissan,Nv200,nissan_nv200
Nissan,Pathfinder,nissan_pathfinder
Nissan,Patrol,nissan_patrol
Nissan,Pixo,nissan_pixo
Nissan,Primera,nissan_primera
Nissan,Pulsar,nissan_pulsar
Nissan,Qashqai,nissan_qashqai
Nissan,Qashqai+2,nissan_qashqai+2
Nissan,Serena,nissan_serena
Nissan,Terrano,nissan_terrano
Nissan,X-trail,nissan_x-trail
Perodua,Kelisa,perodua_kelisa
Perodua,Myvi,perodua_myvi
Perodua,Kenari,perodua_kenari
Peugeot,1007,peugeot_1007
Peugeot,106,peugeot_106
Peugeot,107,peugeot_107
Peugeot,108,peugeot_108
Peugeot,2008,peugeot_2008
Peugeot,206,peugeot_206
Peugeot,207,peugeot_207
Peugeot,208,peugeot_208
Peugeot,3008,peugeot_3008
Peugeot,306,peugeot_306
Peugeot,307,peugeot_307
Peugeot,308,peugeot_308
Peugeot,4007,peugeot_4007
Peugeot,406,peugeot_406
Peugeot,407,peugeot_407
Peugeot,5008,peugeot_5008
Peugeot,508,peugeot_508
Peugeot,607,peugeot_607
Peugeot,807,peugeot_807
Peugeot,Bipper tepee,peugeot_bippertepee
Peugeot,Expert tepee,peugeot_experttepee
Peugeot,Ion,peugeot_ion
Peugeot,Partner tepee,peugeot_partnertepee
Peugeot,Rcz,peugeot_rcz
Peugeot,Traveller,peugeot_traveller
Peugeot,806,peugeot_806
Peugeot,Partner combi,peugeot_partnercombi
Peugeot,Expert Combi,peugeot_expertcombi
Porsche,718 boxster,porsche_718boxster
Porsche,718 cayman,porsche_718cayman
Porsche,911,porsche_911
Porsche,Boxster,porsche_boxster
Porsche,Cayenne,porsche_cayenne
Porsche,Cayman,porsche_cayman
Porsche,Macan,porsche_macan
Porsche,Panamera,porsche_panamera
Proton,Gen-2,proton_gen-2
Proton,Impian,proton_impian
Proton,Persona,proton_persona
Proton,Satria neo,proton_satrianeo
Proton,Savvy,proton_savvy
Proton,Wira,proton_wira
Renault,Captur,renault_captur
Renault,Clio,renault_clio
Renault,Espace,renault_espace
Renault,Grand espace,renault_grandespace
Renault,Grand modus,renault_grandmodus
Renault,Grand scenic,renault_grandscenic
Renault,Kadjar,renault_kadjar
Renault,Kangoo,renault_kangoo
Renault,Koleos,renault_koleos
Renault,Laguna,renault_laguna
Renault,Megane,renault_megane
Renault,Modus,renault_modus
Renault,Scenic,renault_scenic
Renault,Twingo,renault_twingo
Renault,Vel satis,renault_velsatis
Renault,Wind,renault_wind
Renault,Zoe,renault_zoe
Rolls-Royce,Dawn,rolls-royce_dawn
Rolls-Royce,Ghost,rolls-royce_ghost
Rolls-Royce,Phantom,rolls-royce_phantom
Rolls-Royce,Silver seraph,rolls-royce_silverseraph
Rolls-Royce,Wraith,rolls-royce_wraith
Rover,25,rover_25
Rover,45,rover_45
Rover,75,rover_75
Rover,City rover,rover_cityrover
Rover,Mini,rover_mini
Rover,Streetwise,rover_streetwise
Rover,600,rover_600
Seat,Alhambra,seat_alhambra
Seat,Altea,seat_altea
Seat,Arona,seat_arona
Seat,Arosa,seat_arosa
Seat,Ateca,seat_ateca
Seat,Cordoba,seat_cordoba
Seat,Exeo,seat_exeo
Seat,Ibiza,seat_ibiza
Seat,Leon,seat_leon
Seat,Mii,seat_mii
Seat,Toledo,seat_toledo
Skoda,Citigo,skoda_citigo
Skoda,Fabia,skoda_fabia
Skoda,Karoq,skoda_karoq
Skoda,Kodiaq,skoda_kodiaq
Skoda,Octavia,skoda_octavia
Skoda,Rapid,skoda_rapid
Skoda,Roomster,skoda_roomster
Skoda,Superb,skoda_superb
Skoda,Yeti,skoda_yeti
Skoda,Felicia,skoda_felicia
Saab,9-3,saab_9-3
Saab,9-5,saab_9-5
Smart,Forfour,smart_forfour
Smart,Fortwo,smart_fortwo
Smart,Roadster,smart_roadster
Ssangyong,Korando,ssangyong_korando
Ssangyong,Kyron,ssangyong_kyron
Ssangyong,Musso,ssangyong_musso
Ssangyong,Rexton,ssangyong_rexton
Ssangyong,Rodius,ssangyong_rodius
Ssangyong,Tivoli,ssangyong_tivoli
Ssangyong,Tivoli xlv,ssangyong_tivolixlv
Ssangyong,Turismo,ssangyong_turismo
Subaru,Brz,subaru_brz
Subaru,Forester,subaru_forester
